iter	Logloss
0	0.6726776123
1	0.6532348022
2	0.635383606
3	0.6191758423
4	0.6042618408
5	0.5893667603
6	0.5767006836
7	0.5620466309
8	0.5514554443
9	0.5409489746
10	0.5285371094
11	0.5199915771
12	0.5105122986
13	0.5024393616
14	0.494901062
15	0.486973938
16	0.4795071411
17	0.4721946411
18	0.4652449951
19	0.4583059692
20	0.4524539185
21	0.4466779175
22	0.4419421692
23	0.4375637207
24	0.4322433472
25	0.4272562561
26	0.4240462952
27	0.4208786011
28	0.416515564
29	0.4123759155
30	0.4091721802
31	0.4066187744
32	0.4040800476
33	0.4011969604
34	0.3982659912
35	0.3950884705
36	0.3927628174
37	0.3899612732
38	0.3873478699
39	0.3850986328
40	0.3829625244
41	0.3811151123
42	0.3792505188
43	0.3771445923
44	0.3751672974
45	0.3736209412
46	0.3719382019
47	0.3701466064
48	0.3683410645
49	0.3671295776
50	0.3656756592
51	0.3646690063
52	0.3634561462
53	0.3623974609
54	0.3613912354
55	0.360081543
56	0.3590307007
57	0.3580947876
58	0.3572938232
59	0.3566453247
60	0.3554645691
61	0.3544414978
62	0.353625885
63	0.352928833
64	0.3521352539
65	0.3515031738
66	0.350909668
67	0.350291626
68	0.3499304199
69	0.349230072
70	0.3485093079
71	0.3479032593
72	0.3470694275
73	0.3461869507
74	0.3454145813
75	0.3449651489
76	0.3443886719
77	0.3439251099
78	0.3435006409
79	0.3430554199
80	0.3426991882
81	0.3420075684
82	0.3415600586
83	0.3411397095
84	0.3405336304
85	0.340133728
86	0.3395733032
87	0.3391835938
88	0.338915802
89	0.3384957886
90	0.3381105347
91	0.3377046509
92	0.3373103638
93	0.3368793335
94	0.3364771423
95	0.3363168945
96	0.3358215332
97	0.3354415588
98	0.3352302246
99	0.3347469788
100	0.3344262695
101	0.334104248
102	0.3335684814
103	0.3332351685
104	0.3328496704
105	0.3324335937
106	0.3319654541
107	0.3317214661
108	0.3313584595
109	0.3310319519
110	0.3308456421
111	0.3306134033
112	0.3301604004
113	0.3299434204
114	0.3296696472
115	0.3295481262
116	0.3291596069
117	0.3289021912
118	0.3287081299
119	0.3283057861
120	0.3280389099
121	0.3277591553
122	0.3273730774
123	0.3270891113
124	0.326763855
125	0.3265392761
126	0.3262376709
127	0.3260532837
128	0.3258569031
129	0.3256445618
130	0.3254134827
131	0.3252038879
132	0.3250350037
133	0.3248675232
134	0.3245943909
135	0.3244199524
136	0.3242882996
137	0.3241371155
138	0.3239589539
139	0.3236409607
140	0.3233947144
141	0.3232800598
142	0.3230338745
143	0.3228898926
144	0.3226808777
145	0.3224825439
146	0.3222531738
147	0.3220344849
148	0.3218707886
149	0.3216781006
150	0.3215401306
151	0.3214206543
152	0.3212694397
153	0.3210361938
154	0.3208773804
155	0.3206149902
156	0.3204876099
157	0.3203528748
158	0.3200569458
159	0.319925293
160	0.3198193665
161	0.3196370544
162	0.3193862915
163	0.319137207
164	0.3190192261
165	0.3188175354
166	0.3185957031
167	0.3184315186
168	0.3181638794
169	0.3180109253
170	0.3178820496
171	0.317732605
172	0.3175539551
173	0.3173207397
174	0.3170952148
175	0.3169337463
176	0.3167281494
177	0.3164595947
178	0.3162956848
179	0.3161558228
180	0.3160567017
181	0.3158553772
182	0.3156976318
183	0.3155608215
184	0.3153990479
185	0.3152564392
186	0.3151000671
187	0.3149585571
188	0.3147652588
189	0.3144776611
190	0.3143254089
191	0.3141925659
192	0.3141092224
193	0.3139701843
194	0.3137767334
195	0.3135460815
196	0.3134587402
197	0.3133096924
198	0.3132258911
199	0.3131296082
200	0.312994751
201	0.3129090576
202	0.312772583
203	0.3125918579
204	0.3123482666
205	0.312201355
206	0.3119978638
207	0.3118652039
208	0.3116795654
209	0.3114986572
210	0.3113026123
211	0.3110506592
212	0.3110328979
213	0.3108869019
214	0.3106903687
215	0.310461853
216	0.3103673096
217	0.3103000488
218	0.3101611938
219	0.3099941101
220	0.3098833313
221	0.3097005615
222	0.3095289917
223	0.3093707581
224	0.309196167
225	0.3089891357
226	0.3089084167
227	0.3087498779
228	0.308744873
229	0.3086060181
230	0.3084821167
231	0.3084059448
