iter	Passed	Remaining
0	4	4578
1	8	4009
2	11	3756
3	14	3615
4	18	3600
5	21	3538
6	24	3435
7	27	3417
8	30	3393
9	34	3397
10	37	3394
11	40	3368
12	44	3365
13	47	3361
14	51	3359
15	54	3369
16	58	3374
17	62	3385
18	65	3396
19	69	3390
20	72	3399
21	76	3398
22	79	3395
23	83	3411
24	87	3404
25	90	3408
26	93	3380
27	97	3372
28	100	3365
29	104	3366
30	107	3358
31	111	3360
32	114	3360
33	118	3353
34	121	3353
35	125	3349
36	128	3354
37	132	3348
38	136	3351
39	139	3352
40	143	3352
41	146	3345
42	150	3344
43	153	3337
44	157	3334
45	160	3338
46	164	3335
47	168	3333
48	171	3326
49	174	3323
50	178	3320
51	181	3316
52	185	3309
53	189	3314
54	192	3313
55	196	3314
56	200	3310
57	204	3313
58	207	3310
59	211	3305
60	214	3302
61	217	3297
62	221	3290
63	224	3289
64	228	3285
65	232	3284
66	235	3283
67	239	3277
68	242	3272
69	246	3269
70	249	3265
71	253	3263
72	256	3262
73	260	3257
74	263	3251
75	267	3246
76	270	3247
77	274	3247
78	278	3241
79	281	3237
80	285	3233
81	288	3227
82	291	3222
83	295	3221
84	298	3217
85	302	3215
86	306	3211
87	309	3205
88	312	3200
89	316	3195
90	319	3193
91	323	3193
92	327	3189
93	330	3183
94	333	3181
95	336	3168
96	340	3169
97	343	3166
98	347	3161
99	350	3156
100	354	3154
101	357	3151
102	361	3149
103	365	3144
104	368	3141
105	372	3139
106	375	3134
107	378	3128
108	382	3124
109	385	3121
110	389	3116
111	392	3113
112	396	3109
113	399	3107
114	403	3104
115	406	3097
116	410	3098
117	414	3094
118	417	3093
119	421	3090
120	425	3087
121	428	3085
122	432	3085
123	436	3083
124	440	3080
125	443	3076
126	447	3078
127	451	3077
128	455	3072
129	458	3068
130	461	3064
131	465	3059
132	468	3055
133	471	3047
134	475	3046
135	478	3042
136	482	3040
137	486	3039
138	489	3034
139	493	3032
140	496	3027
141	500	3023
142	503	3018
143	507	3014
144	510	3010
145	514	3006
146	517	3004
147	521	3000
148	524	2998
149	528	2995
150	532	2991
151	535	2987
152	538	2982
153	543	2987
154	548	2990
155	552	2987
156	555	2983
157	558	2978
158	562	2974
159	565	2969
160	569	2965
161	572	2963
162	576	2959
163	579	2954
164	582	2949
165	586	2947
166	590	2944
167	593	2940
168	597	2935
169	600	2932
170	603	2926
171	606	2922
172	610	2919
173	614	2916
174	617	2911
175	620	2906
176	624	2901
177	627	2897
178	632	2900
179	635	2895
180	638	2890
181	642	2887
182	646	2886
183	649	2881
184	653	2877
185	656	2872
186	660	2871
187	663	2867
188	667	2862
189	670	2860
190	674	2857
191	677	2852
192	681	2847
193	684	2843
194	688	2840
195	691	2837
196	695	2833
197	698	2829
198	701	2824
199	705	2822
200	709	2821
201	713	2817
202	716	2813
203	720	2810
204	723	2805
205	727	2802
206	731	2800
207	734	2795
208	737	2791
209	740	2786
210	744	2782
211	747	2777
212	749	2769
213	752	2764
214	756	2760
215	759	2756
216	762	2752
217	766	2748
218	770	2747
219	774	2744
220	777	2740
221	781	2738
222	785	2735
223	788	2732
224	791	2727
225	796	2726
226	799	2722
227	803	2720
228	806	2714
229	810	2711
230	814	2710
231	817	2705
232	821	2702
233	824	2699
234	828	2695
235	831	2690
236	834	2687
237	837	2682
238	841	2679
239	844	2675
240	848	2671
241	851	2667
242	854	2663
243	858	2659
244	861	2655
245	864	2651
246	868	2647
247	872	2646
248	875	2642
249	879	2639
250	883	2635
251	886	2632
252	890	2628
253	893	2625
254	895	2617
255	900	2615
256	903	2612
257	906	2608
258	910	2606
259	914	2602
260	918	2600
261	921	2596
262	925	2594
263	929	2591
264	933	2587
265	936	2583
266	939	2579
267	943	2577
268	947	2574
269	951	2571
270	954	2566
271	957	2563
272	961	2559
273	964	2555
274	967	2551
275	971	2548
276	975	2545
277	978	2541
278	981	2537
279	985	2533
280	989	2530
281	991	2524
282	994	2520
283	998	2517
284	1001	2513
285	1005	2509
286	1009	2507
287	1012	2503
288	1016	2501
289	1020	2497
290	1024	2495
291	1027	2491
292	1029	2485
293	1033	2481
294	1036	2477
295	1040	2475
296	1044	2471
297	1048	2468
298	1051	2465
299	1055	2462
300	1058	2458
301	1063	2456
302	1066	2453
303	1070	2451
304	1075	2449
305	1078	2445
306	1081	2442
307	1085	2438
308	1088	2434
309	1092	2431
310	1096	2428
311	1099	2424
312	1102	2420
313	1106	2417
314	1109	2413
315	1114	2411
316	1117	2408
317	1121	2405
318	1124	2401
319	1128	2398
320	1132	2395
321	1135	2391
322	1139	2388
323	1142	2384
324	1146	2381
325	1150	2378
326	1154	2375
327	1157	2371
328	1160	2367
329	1163	2363
330	1167	2358
331	1170	2355
332	1173	2351
333	1177	2347
334	1180	2343
335	1183	2339
336	1187	2336
337	1191	2332
338	1194	2328
339	1204	2339
340	1211	2341
341	1215	2339
342	1219	2335
343	1222	2331
344	1226	2328
345	1229	2324
346	1233	2321
347	1237	2317
348	1240	2313
349	1243	2310
350	1247	2306
351	1250	2302
352	1254	2298
353	1257	2294
354	1260	2289
355	1265	2288
356	1268	2285
357	1272	2281
358	1275	2276
359	1278	2272
360	1281	2268
361	1285	2265
362	1288	2261
363	1291	2256
364	1295	2253
365	1298	2248
366	1301	2244
367	1304	2240
368	1308	2236
369	1311	2232
370	1314	2228
371	1318	2225
372	1321	2221
373	1325	2217
374	1328	2214
375	1332	2210
376	1335	2206
377	1338	2202
378	1342	2198
379	1345	2195
380	1348	2191
381	1352	2187
382	1355	2184
383	1359	2180
384	1362	2176
385	1366	2173
386	1370	2170
387	1373	2166
388	1376	2162
389	1379	2158
390	1383	2154
391	1387	2151
392	1390	2147
393	1394	2144
394	1397	2140
395	1401	2137
396	1404	2133
397	1407	2129
398	1411	2125
399	1415	2122
400	1418	2119
401	1422	2115
402	1425	2111
403	1429	2109
404	1432	2105
405	1436	2101
406	1439	2097
407	1443	2094
408	1446	2090
409	1450	2086
410	1453	2082
411	1456	2079
412	1460	2075
413	1463	2071
414	1467	2068
415	1470	2064
416	1474	2061
417	1478	2058
418	1481	2054
419	1484	2050
420	1488	2047
421	1492	2043
422	1495	2040
423	1499	2036
424	1502	2032
425	1505	2028
426	1509	2025
427	1512	2021
428	1515	2017
429	1519	2013
430	1523	2010
431	1526	2007
432	1529	2003
433	1533	1999
434	1536	1996
435	1541	1993
436	1544	1989
437	1548	1986
438	1551	1982
439	1554	1978
440	1558	1975
441	1561	1971
442	1565	1968
443	1568	1964
444	1572	1960
445	1575	1956
446	1579	1953
447	1582	1950
448	1586	1946
449	1589	1942
450	1593	1939
451	1596	1935
452	1599	1931
453	1603	1928
454	1606	1924
455	1609	1920
456	1613	1916
457	1616	1913
458	1619	1909
459	1623	1905
460	1626	1901
461	1630	1898
462	1633	1894
463	1637	1891
464	1641	1888
465	1644	1884
466	1648	1881
467	1651	1877
468	1655	1874
469	1658	1870
